model,model_commit_id
stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14
black-forest-labs/FLUX.1-dev,3de623fc3c33e44ffbe2bad470d0f45bccf2eb21
SG161222/Realistic_Vision_V5.1_noVAE,1e9f017a7b1eaefb63a1900ea6c5953d2739fd21
Qwen/Qwen-Image,75e0b4be04f60ec59a75f475837eced720f823b6
SG161222/RealVisXL_V4.0,26dfe44930964cd70d0a817b6d1cc945c130e38d
stablediffusionapi/juggernaut-xl-v9,e236cf90d447bec0a8fcd3fad247f9f8ba38751a
yujiepan/stable-diffusion-3-tiny-random,abcdbb999b2d30c35d03efdce0be981e1efac0a4
katuni4ka/tiny-random-flux,694149e3ec12f221b01dcab1b9e6ac3ccfd9ab2a
John6666/wai-nsfw-illustrious-v80-sdxl,925cea128f774baa7fb31cbec79f043be15b18b4
openart-custom/AlbedoBase,9aee66d36a2c3fe48dfc4cd72015f8e8ee855fbb
cagliostrolab/animagine-xl-4.0,2b7c1b397761bf5bd3cc42e5b39ec99314a75a96
SG161222/Realistic_Vision_V6.0_B1_noVAE,9a857a696b9aabbf509073e0aa55ec8200b6ef7d
John6666/janku-v5-nsfw-trained-noobai-rou-wei-illustrious-xl-v50-sdxl,4182063bc4abf3387a6b0c36a74dc7d8c1d6899c
SG161222/RealVisXL_V5.0,ac93e0dda1f6d448cae19bbfab8c5e720a5e48bc
John6666/ultra-v9-sdxl,dbe8e96b055c878a38166625d1b88e2a976a01e9
John6666/gurila-mash-xxx-sdxl-gurila-mash-v3-sdxl,3802bfc48e8db5f652ed51ecde5a79d91931dd9e
lovis93/testllm,1caa18804996cd97c6635b0ff854bba798152b2c
black-forest-labs/FLUX.1-Krea-dev,8162a9c7b05a641be098422bf2fcf335615c2f28
John6666/autismmix-sdxl-autismmix-pony-sdxl,9b71ab83b380711fdeda6fd8eef6119a55e31fbd
lodestones/Chroma1-HD,0e0c60ece1e82b17cb7f77342d765ba5024c40c0
openart-custom/DucHaiten-AIart-SDXL_v3,733f7938c761bff2ba814d9eb4199622293d8885
John6666/wai-nsfw-illustrious-v90-sdxl,c84eb717bdee14a6ff91f0f5847857e0d791c783
openart-custom/CrystalClearXL,28c63839bddded2f50434587e9982065d60bd2f0
katuni4ka/tiny-random-sana,3cec800e6b87fd665d7f803e55944216c2faf4cf
John6666/prefect-illustrious-xl-v3-sdxl,7b28f7f082e338a107ee8a91f09ae8d132a6a11f
Nextcloud-AI/sdxl-turbo,95c927b8d3a1d7ebee5c188694b5be9c900976e4
John6666/the-big-x-files-bigxphotodemon-sdxl,89ce6fc1e9669cf11d20f2c3421f0085b8acafe6
fal-collab-models/dreamshaper-xl-1-0,42932f7a39eb83ac41297b793ea33bf482a7c88d
John6666/obsession-illustriousxl-v10-sdxl,4c65fa5cf4bd0975ff5fd05b0048fbaa6dbb5fbe
John6666/the-big-x-files-bigxtasty-sdxl,a27e0557900fa2c9eec9c56c3ff9ea734deea9c0
Laxhar/noobai-XL-1.1,814a274af2b8097c0828819d561ec74c7d0c6cea
