model,model_commit_id
hf-hub:timm/vit_small_patch16_224.augreg_in21k_ft_in1k,7e2c55630205e1266030f18370f4c6ed1a514b52
hf-hub:timm/vit_base_patch16_224.augreg2_in21k_ft_in1k,063c6c38a5d8510b2e57df480445e94b231dad2c
hf-hub:timm/vit_base_patch14_dinov2.lvd142m,4685c99dabffe5affac90bd99dbffd25801ae58d
hf-hub:timm/samvit_base_patch16.sa1b,c6db726d87cbba7788e026776b46c5db3aa1594b
hf-hub:timm/vit_base_patch16_224.dino,4735e392aa9f07d74d9aa296f7be800da73699df
hf-hub:timm/vit_small_patch14_dinov2.lvd142m,4610ca143709d58a633b6397a74412c2c3842454
hf-hub:timm/vit_base_patch32_384.augreg_in21k_ft_in1k,e119fcb48eb37555933c53dadaab15e6a3bcb72f
hf-hub:timm/vit_small_patch16_224.dino,10e440b8a34dfd657a90f2fcaa988c6b6a2f0da4
hf-hub:timm/vit_base_patch8_224.augreg2_in21k_ft_in1k,907a22023d1c918aae6d7f340275616a25f7f2ff
hf-hub:timm/beitv2_base_patch16_224.in1k_ft_in22k,db3a37523700d6507b4973ce0898d55216530c68
hf-hub:timm/vit_tiny_patch16_224.augreg_in21k,3d5f75e2fe58abe541d5651356278a1df3fd3ab3
hf-hub:timm/vit_tiny_patch16_224.augreg_in21k_ft_in1k,7d3afdd0cf93ad84d986eb2d6bcc5812ebd0b106
hf-hub:timm/vit_large_patch14_dinov2.lvd142m,4741e1cafbf45415e77074bb0cb42dba76c8684a
hf-hub:timm/vit_large_patch14_reg4_dinov2.lvd142m,f3c408e77602bb412aa65fb03dfa0d5f95cb3832
hf-hub:timm/vit_small_patch14_reg4_dinov2.lvd142m,c04b5193082a8d5b0c4856c7937384a48136c5de
hf-hub:timm/vit_base_patch16_224.augreg_in21k,bb70896cd6bffdd579c3d4f7284f39d0c4ab46c3
hf-hub:timm/vit_base_r50_s16_384.orig_in21k_ft_in1k,a70725585df76110a6e3b755d470ab0eba97933a
hf-hub:timm/vit_base_patch16_224_miil.in21k,204eca5a829c1eef80c21d48af0e4b3995b61417
hf-hub:timm/vit_base_patch32_224.augreg_in21k_ft_in1k,ddee2f845b54149823c7195f11246d3ab33f5285
hf-hub:timm/vit_base_patch16_224.augreg_in21k_ft_in1k,2ec9fb3d7bb664aac471ac44582c94d18de33780
hf-hub:timm/vit_large_patch16_224.augreg_in21k_ft_in1k,0930ab3308b84cb2ae091a4a80703c459412a4c7
hf-hub:timm/beit_base_patch16_224.in22k_ft_in22k_in1k,b3bf22e110de4332c9df8fe98497bdfe15ef5098
hf-hub:timm/vit_small_patch16_224.augreg_in21k,e92009a28e352478c6e975418e05faa03b337559
hf-hub:timm/vit_base_patch14_reg4_dinov2.lvd142m,3b06466a5548c52b8b98822e1390987695fcbf82
hf-hub:timm/vit_large_patch16_384.augreg_in21k_ft_in1k,1a0edc93ef27935b955ce67a344087b140f85d47
hf-hub:timm/vit_base_patch16_384.augreg_in21k_ft_in1k,0c7e6a0d1d0531319e1afa27940029814167e6e5
hf-hub:timm/vit_base_patch16_dinov3.lvd1689m,c6a5fb7d12bbd3cf3b0079253141c3332aaed7da
hf-hub:timm/vit_giant_patch14_dinov2.lvd142m,dd22bb6485eeb29d67273f76d983061298bdc7f0
hf-hub:timm/vit_base_patch16_224.mae,a64dffd137c0cc3b09d9a1f55fa70fbddd3bf53a
hf-hub:timm/beitv2_base_patch16_224.in1k_ft_in22k_in1k,74ae649d4b577efcd55ae7257ad3867c99f173d5
hf-hub:timm/vit_base_patch8_224.dino,0d725ac467f73fd42e16bc0c86446db2d689d702
hf-hub:timm/vit_large_patch16_224.augreg_in21k,030b47dd491cd8c298bcb396e48997bd9adc4778
hf-hub:timm/vit_large_patch16_dinov3.lvd1689m,30c1109559f65dea34316b0d4842d35c5771fe11
hf-hub:timm/vit_large_patch32_224.orig_in21k,13ed1dd8e5c8adfa2ab9ac73add6b2d21b695f23
hf-hub:timm/vit_small_patch16_384.augreg_in21k_ft_in1k,5f8acaf9682ac7cc52cdef292a57dbfeca413a26
hf-hub:timm/vit_small_patch16_dinov3.lvd1689m,3bf4720a82ec2066db88137180ff1f83a675cef0
hf-hub:timm/beit_base_patch16_224.in22k_ft_in22k,9b9827a7c99ab763a12630f2f7d913763cff4152
hf-hub:timm/vit_base_patch16_224.orig_in21k_ft_in1k,e0bd370de6799e8d1f47a911174ff4c3708e2323
hf-hub:timm/vit_base_patch16_224.orig_in21k,ba93fb27cf66db1117ac67bb6e9e4a599df98b87
facebook/dinov2-with-registers-large,e4c89a4e05589de9b3e188688a303d0f3c04d0f3
facebook/dinov2-with-registers-base,a1d738ccfa7ae170945f210395d99dde8adb1805
facebook/dinov2-with-registers-small,0d9846e56b43a21fa46d7f3f5070f0506a5795a9
facebook/dinov2-with-registers-giant,8d0d49f77fb8b5dd78842496ff14afe7dd4d85cb
google/paligemma2-3b-pt-224,96eeb174da13ca1a2b247e4d0867436296c36420
google/paligemma-3b-pt-224,35e4f46485b4d07967e7e9935bc3786aad50687c
google/paligemma2-3b-ft-docci-448,554fe3ea1355a4d6524dcdc7d94b028e80bc00cf
google/paligemma2-3b-mix-224,8e40ab4cc5df93dfb7fd2fff754bcdff8b62ee78
google/paligemma2-10b-pt-224,86f23f048669c9479367fcbf06c76727c2f7dc6f
google/paligemma2-3b-pt-896,5a5194a3f819fc969b931c42f417c3194f5b6e4a
Falconsai/nsfw_image_detection,04367978d3474804ab1a00a9bd6548b741764069
