model,tensor_parallel,trust_remote_code,model_commit_id
meta-llama/Llama-3.1-8B-Instruct,1,0,0e9e39f249a16976918f6564b8830bc894c89659
Qwen/Qwen2.5-3B-Instruct,1,0,aa8e72537993ba99e69dfaafa59ed015b17504d1
openai/gpt-oss-20b,1,0,6cee5e81ee83917806bbde320786a8fb61efebee
Qwen/Qwen3-32B,1,0,9216db5781bf21249d130ec9da846c4624c16137
Qwen/Qwen2.5-7B-Instruct,1,0,a09a35458c702b33eeacc393d103063234e8bc28
Qwen/Qwen3-Next-80B-A3B-Instruct,1,0,9c7f2fbe84465e40164a94cc16cd30b6999b0cc7
context-labs/meta-llama-Llama-3.2-3B-Instruct-FP16,1,0,4a7511c7510a87a493e7f30f51065a84b1a3943f
Qwen/Qwen2.5-7B,1,0,d149729398750b98c0af14eb82c78cfe92750796
Qwen/Qwen3-8B,1,0,b968826d9c46dd6066d109eabc6255188de91218
Qwen/Qwen3-4B-Instruct-2507,1,0,cdbee75f17c01a7cc42f958dc650907174af0554
meta-llama/Meta-Llama-3-8B,1,0,8cde5ca8380496c9a6cc7ef3a8b46a0372a1d920
meta-llama/Llama-3.2-3B-Instruct,1,0,0cb88a4f764b7a12671c53f0838cd831a0843b95
Qwen/Qwen2.5-14B-Instruct,1,0,cf98f3b3bbb457ad9e2bb7baf9a0125b6b88caa8
Qwen/Qwen3-Next-80B-A3B-Thinking,1,0,e502dd4100cc68c0de57643fd4317ec93a128670
Qwen/Qwen3-4B,1,0,1cfa9a7208912126459214e8b04321603b3df60c
Qwen/Qwen3-30B-A3B-Instruct-2507,1,0,0d7cf23991f47feeb3a57ecb4c9cee8ea4a17bfe
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,1,0,6a6f4aa4197940add57724a7707d069478df56b1
microsoft/Phi-3-mini-4k-instruct,1,0,f39ac1d28e925b323eae81227eaba4464caced4e
microsoft/phi-4,1,0,932b33c0ec9ca189badeb22480721a8de9d0e006
Qwen/Qwen3-14B,1,0,40c069824f4251a91eefaf281ebe4c544efd3e18
meta-llama/Meta-Llama-3-8B-Instruct,1,0,8afb486c1db24fe5011ec46dfbe5b5dccdb575c2
Qwen/Qwen2.5-32B-Instruct-AWQ,1,0,5c7cb76a268fc6cfbb9c4777eb24ba6e27f9ee6c
mistralai/Mistral-7B-Instruct-v0.2,1,0,63a8b081895390a26e140280378bc85ec8bce07a
mlx-community/gpt-oss-20b-MXFP4-Q8,1,0,9f9d50e7b3418526519c2e21306d1c381e9181b2
HuggingFaceH4/zephyr-7b-beta,1,0,892b3d7a7b1cf10c7a701c60881cd93df615734c
meta-llama/Meta-Llama-3-70B-Instruct,1,0,50fd307e57011801c7833c87efa1984ddf2db42f
Qwen/Qwen3-Coder-30B-A3B-Instruct,1,0,b2cff646eb4bb1d68355c01b18ae02e7cf42d120
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,1,0,916b56a44061fd5cd7d6a8fb632557ed4f724f60
Qwen/Qwen2.5-Coder-7B-Instruct,1,0,c03e6d358207e414f1eca0bb1891e29f1db0e242
ibm-research/PowerMoE-3b,1,0,13fcb5a98001438bed01cf1ac4b423751dc4c2ea
meta-llama/Llama-Guard-3-8B,1,0,7327bd9f6efbbe6101dc6cc4736302b3cbb6e425
microsoft/Phi-4-reasoning,1,0,1de18ec97600877ce63dbf60c73b998da99f0195
Qwen/Qwen2.5-72B-Instruct-AWQ,1,0,698703eae6604af048a3d2f509995dc302088217
swiss-ai/Apertus-8B-Instruct-2509,1,0,cdb3e4f4ad41e0cc394bb92c302ac2eed57e9586
nvidia/NVIDIA-Nemotron-Nano-9B-v2,1,1,bce37e25324449f9be5b6a03c69a15244d27ee6e
baichuan-inc/Baichuan-M2-32B,1,0,b8899e306cf018db7ccf1ded712a6805c3f46c8f
allenai/OLMo-2-0325-32B,1,0,cc9d3cf9c7230b86ee6b84607b37db1c01e3f1ed
state-spaces/mamba-2.8b-hf,1,0,96c48e0292b63f5346b6d30061af2551f7101e26
meta-llama/Meta-Llama-3.1-8B-Instruct,1,0,0e9e39f249a16976918f6564b8830bc894c89659
meta-llama/Meta-Llama-3.1-70B-Instruct,4,0,50fd307e57011801c7833c87efa1984ddf2db42f
mistralai/Mixtral-8x7B-Instruct-v0.1,2,0,eba92302a2861cdc0098cc54bc9f17cb2c47eb61
openai/gpt-oss-120b,4,0,b5c939de8f754692c1647ca79fbf85e8c1e70f8a
facebook/opt-125m,1,0,27dcfa74d334bc871f3234de431e71c6eeba5dd6
deepseek-ai/DeepSeek-V3.1,8,0,c0781d039fb7a1ba2abc4add0bdc293e92d2b8db
deepseek-ai/DeepSeek-V3.2-Exp,8,0,194c67e12b1b0d6df0ef373ddcf215bc84027409
deepseek-ai/DeepSeek-R1,8,0,56d4cbbb4d29f4355bab4b9a39ccb717a14ad5ad
google/gemma-3-27b-it,8,0,005ad3404e59d6023443cb575daa05336842228a
Qwen/Qwen3-30B-A3B,8,0,ad44e777bcd18fa416d9da3bd8f70d33ebb85d39
RedHatAI/Llama-3.3-70B-Instruct-NVFP4,1,0,657d47b0fdcdd7ec24e1d518a90ff81eba091c54
RedHatAI/Mistral-Small-3.2-24B-Instruct-2506-NVFP4,1,0,5102662a785ad4f2c47eb54624bf3132ee620a58
NVFP4/Qwen3-32B-FP4,1,0,ab30b99ad3d2ac6af4c2a3448ff494d20d094e13
ibm-granite/granite-4.0-h-small,1,0,b8c0982bab7fde4eb48110f5a069527c008fab39
ibm-granite/granite-4.0-350m,1,0,bd8a1497065c0d6ba1ef19af6b0d2b14bacf71c2
